date,diesel price per liter in RON
29-05-2022,8.907
30-05-2022,9.007
31-05-2022,9.045
01-06-2022,9.048
02-06-2022,9.078
03-06-2022,9.078
04-06-2022,9.004
05-06-2022,9.004
06-06-2022,9.150
07-06-2022,9.168
08-06-2022,9.201
09-06-2022,9.232
10-06-2022,9.273
11-06-2022,9.176
12-06-2022,9.176
13-06-2022,9.345
14-06-2022,9.345
15-06-2022,9.376
16-06-2022,9.376
17-06-2022,9.391
18-06-2022,9.299
19-06-2022,9.299
20-06-2022,9.417
21-06-2022,9.417
22-06-2022,9.417
23-06-2022,9.412
24-06-2022,9.412
25-06-2022,9.294
26-06-2022,9.294
27-06-2022,9.412
28-06-2022,9.412
29-06-2022,9.412
30-06-2022,9.412
01-07-2022,8.904
02-07-2022,8.904
03-07-2022,8.904
04-07-2022,8.899
05-07-2022,8.899
06-07-2022,8.899
07-07-2022,8.899
08-07-2022,8.899
09-07-2022,8.899
10-07-2022,8.899
11-07-2022,8.899
12-07-2022,8.899
13-07-2022,8.899
14-07-2022,8.899
15-07-2022,8.899
16-07-2022,8.899
17-07-2022,8.899
18-07-2022,8.899
19-07-2022,8.899
20-07-2022,8.899
21-07-2022,8.745
22-07-2022,8.745
23-07-2022,8.745
24-07-2022,8.745
25-07-2022,8.745
26-07-2022,8.745
27-07-2022,8.694
28-07-2022,8.694
29-07-2022,8.694
30-07-2022,8.694
31-07-2022,8.694
01-08-2022,8.694
02-08-2022,8.643
03-08-2022,8.540
04-08-2022,8.540
05-08-2022,8.540
06-08-2022,8.540
07-08-2022,8.540
08-08-2022,8.438
09-08-2022,8.438
10-08-2022,8.335
11-08-2022,8.335
12-08-2022,8.335
13-08-2022,8.335
14-08-2022,8.335
15-08-2022,8.335
16-08-2022,8.335
17-08-2022,8.335
18-08-2022,8.335
19-08-2022,8.335
20-08-2022,8.335
21-08-2022,8.335
22-08-2022,8.348
23-08-2022,8.369
24-08-2022,8.392
25-08-2022,8.417
26-08-2022,8.438
27-08-2022,8.499
28-08-2022,8.499
29-08-2022,8.499
30-08-2022,8.507
31-08-2022,8.510
01-09-2022,8.540
02-09-2022,8.540
03-09-2022,8.540
04-09-2022,8.540
05-09-2022,8.540
06-09-2022,8.548
07-09-2022,8.581
08-09-2022,8.581
09-09-2022,8.581
10-09-2022,8.581
11-09-2022,8.581
12-09-2022,8.581
13-09-2022,8.592
14-09-2022,8.622
15-09-2022,8.469
16-09-2022,8.469
17-09-2022,8.315
18-09-2022,8.315
19-09-2022,8.315
20-09-2022,8.315
21-09-2022,8.315
22-09-2022,8.212
23-09-2022,8.212
24-09-2022,8.212
25-09-2022,8.212
26-09-2022,8.212
27-09-2022,8.110
28-09-2022,8.110
29-09-2022,8.110
30-09-2022,8.110
01-10-2022,8.110
02-10-2022,8.110
03-10-2022,8.110
04-10-2022,8.110
05-10-2022,8.110
06-10-2022,8.110
07-10-2022,8.130
08-10-2022,8.202
09-10-2022,8.212
10-10-2022,8.223
11-10-2022,8.248
12-10-2022,8.335
13-10-2022,8.335
14-10-2022,8.351
15-10-2022,8.417
16-10-2022,8.417
17-10-2022,8.428
18-10-2022,8.499
19-10-2022,8.520
20-10-2022,8.520
21-10-2022,8.581
22-10-2022,8.602
23-10-2022,8.612
24-10-2022,8.633
25-10-2022,8.633
26-10-2022,8.633
27-10-2022,8.633
28-10-2022,8.633
29-10-2022,8.633
30-10-2022,8.633
31-10-2022,8.633
01-11-2022,8.633
02-11-2022,8.633
03-11-2022,8.633
04-11-2022,8.643
05-11-2022,8.674
06-11-2022,8.674
07-11-2022,8.684
08-11-2022,8.725
09-11-2022,8.756
10-11-2022,8.756
11-11-2022,8.756
12-11-2022,8.725
13-11-2022,8.725
14-11-2022,8.725
15-11-2022,8.725
16-11-2022,8.694
17-11-2022,8.643
18-11-2022,8.643
19-11-2022,8.592
20-11-2022,8.592
21-11-2022,8.551
22-11-2022,8.499
23-11-2022,8.417
24-11-2022,8.417
25-11-2022,8.366
26-11-2022,8.366
27-11-2022,8.366
28-11-2022,8.366
29-11-2022,8.284
30-11-2022,8.130
01-12-2022,8.130
02-12-2022,8.130
03-12-2022,8.130
04-12-2022,8.130
05-12-2022,8.130
06-12-2022,7.977
07-12-2022,7.823
08-12-2022,7.618
09-12-2022,7.618
10-12-2022,7.464
11-12-2022,7.464
12-12-2022,7.464
13-12-2022,7.464
14-12-2022,7.464
15-12-2022,7.464
16-12-2022,7.464
17-12-2022,7.464
18-12-2022,7.464
19-12-2022,7.464
20-12-2022,7.362
21-12-2022,7.362
22-12-2022,7.310
23-12-2022,7.310
24-12-2022,7.310
25-12-2022,7.310
26-12-2022,7.310
27-12-2022,7.310
28-12-2022,7.310
29-12-2022,7.310
30-12-2022,7.310
31-12-2022,7.310
01-01-2023,7.321
02-01-2023,7.700
03-01-2023,7.700
04-01-2023,7.700
05-01-2023,7.700
06-01-2023,7.659
07-01-2023,7.659
