date,gasoline price per liter in RON
16-04-2021,5.540
17-04-2021,5.491
18-04-2021,5.491
19-04-2021,5.547
20-04-2021,5.583
21-04-2021,5.583
22-04-2021,5.555
23-04-2021,5.542
24-04-2021,5.491
25-04-2021,5.491
26-04-2021,5.542
27-04-2021,5.542
28-04-2021,5.542
29-04-2021,5.542
30-04-2021,5.517
01-05-2021,5.494
02-05-2021,5.494
03-05-2021,5.542
04-05-2021,5.542
05-05-2021,5.547
06-05-2021,5.529
07-05-2021,5.555
08-05-2021,5.583
09-05-2021,5.583
10-05-2021,5.627
11-05-2021,5.627
12-05-2021,5.627
13-05-2021,5.627
14-05-2021,5.650
15-05-2021,5.578
16-05-2021,5.573
17-05-2021,5.596
18-05-2021,5.616
19-05-2021,5.616
20-05-2021,5.634
21-05-2021,5.583
22-05-2021,5.555
23-05-2021,5.555
24-05-2021,5.565
25-05-2021,5.583
26-05-2021,5.583
27-05-2021,5.583
28-05-2021,5.583
29-05-2021,5.532
30-05-2021,5.532
31-05-2021,5.583
01-06-2021,5.583
02-06-2021,5.583
03-06-2021,5.583
04-06-2021,5.616
05-06-2021,5.570
06-06-2021,5.570
07-06-2021,5.586
08-06-2021,5.616
09-06-2021,5.616
10-06-2021,5.642
11-06-2021,5.642
12-06-2021,5.611
13-06-2021,5.611
14-06-2021,5.658
15-06-2021,5.693
16-06-2021,5.693
17-06-2021,5.729
18-06-2021,5.704
19-06-2021,5.683
20-06-2021,5.683
21-06-2021,5.691
22-06-2021,5.711
23-06-2021,5.737
24-06-2021,5.770
25-06-2021,5.770
26-06-2021,5.727
27-06-2021,5.727
28-06-2021,5.770
29-06-2021,5.770
30-06-2021,5.801
01-07-2021,5.801
02-07-2021,5.801
03-07-2021,5.747
04-07-2021,5.747
05-07-2021,5.801
06-07-2021,5.832
07-07-2021,5.832
08-07-2021,5.862
09-07-2021,5.862
10-07-2021,5.862
11-07-2021,5.862
12-07-2021,5.862
13-07-2021,5.862
14-07-2021,5.862
15-07-2021,5.880
16-07-2021,5.886
17-07-2021,5.919
18-07-2021,5.919
19-07-2021,5.919
20-07-2021,5.919
21-07-2021,5.903
22-07-2021,5.903
23-07-2021,5.934
24-07-2021,5.934
25-07-2021,5.934
26-07-2021,5.934
27-07-2021,5.957
28-07-2021,5.957
29-07-2021,5.957
30-07-2021,5.980
31-07-2021,5.980
01-08-2021,5.980
02-08-2021,5.980
03-08-2021,6.032
04-08-2021,6.032
05-08-2021,6.011
06-08-2021,5.996
07-08-2021,5.970
08-08-2021,5.970
09-08-2021,5.970
10-08-2021,5.970
11-08-2021,5.929
12-08-2021,5.924
13-08-2021,5.924
14-08-2021,5.924
15-08-2021,5.924
16-08-2021,5.924
17-08-2021,5.924
18-08-2021,5.909
19-08-2021,5.909
20-08-2021,5.903
21-08-2021,5.868
22-08-2021,5.868
23-08-2021,5.868
24-08-2021,5.860
25-08-2021,5.860
26-08-2021,5.860
27-08-2021,5.860
28-08-2021,5.860
29-08-2021,5.860
30-08-2021,5.860
31-08-2021,5.868
01-09-2021,5.903
02-09-2021,5.903
03-09-2021,5.929
04-09-2021,5.929
05-09-2021,5.929
06-09-2021,5.929
07-09-2021,5.955
08-09-2021,5.955
09-09-2021,5.998
10-09-2021,5.998
11-09-2021,5.998
12-09-2021,5.998
13-09-2021,5.998
14-09-2021,5.998
15-09-2021,6.032
16-09-2021,6.042
17-09-2021,6.057
18-09-2021,6.057
19-09-2021,6.057
20-09-2021,6.057
21-09-2021,6.057
22-09-2021,6.021
23-09-2021,6.019
24-09-2021,6.019
25-09-2021,6.019
26-09-2021,6.019
27-09-2021,6.019
28-09-2021,6.027
29-09-2021,6.037
30-09-2021,6.037
01-10-2021,6.044
02-10-2021,6.093
03-10-2021,6.093
04-10-2021,6.093
05-10-2021,6.124
06-10-2021,6.124
07-10-2021,6.155
08-10-2021,6.196
09-10-2021,6.165
10-10-2021,6.165
11-10-2021,6.216
12-10-2021,6.247
13-10-2021,6.278
14-10-2021,6.319
15-10-2021,6.319
16-10-2021,6.288
17-10-2021,6.288
18-10-2021,6.319
19-10-2021,6.360
20-10-2021,6.380
21-10-2021,6.411
22-10-2021,6.411
23-10-2021,6.360
24-10-2021,6.360
25-10-2021,6.380
26-10-2021,6.380
27-10-2021,6.390
28-10-2021,6.421
29-10-2021,6.421
30-10-2021,6.360
31-10-2021,6.360
01-11-2021,6.421
02-11-2021,6.421
03-11-2021,6.421
04-11-2021,6.421
05-11-2021,6.380
06-11-2021,6.319
07-11-2021,6.319
08-11-2021,6.380
09-11-2021,6.380
10-11-2021,6.339
11-11-2021,6.339
12-11-2021,6.298
13-11-2021,6.196
14-11-2021,6.196
15-11-2021,6.257
16-11-2021,6.255
17-11-2021,6.255
18-11-2021,6.255
19-11-2021,6.255
20-11-2021,6.196
21-11-2021,6.196
22-11-2021,6.255
23-11-2021,6.216
24-11-2021,6.206
25-11-2021,6.206
26-11-2021,6.206
27-11-2021,6.155
28-11-2021,6.155
29-11-2021,6.155
30-11-2021,6.062
01-12-2021,6.062
02-12-2021,6.124
03-12-2021,6.124
04-12-2021,6.011
05-12-2021,6.011
06-12-2021,6.055
07-12-2021,6.062
08-12-2021,6.062
09-12-2021,6.062
10-12-2021,6.062
11-12-2021,6.032
12-12-2021,6.032
13-12-2021,6.083
14-12-2021,6.083
15-12-2021,6.083
16-12-2021,6.101
17-12-2021,6.101
18-12-2021,6.042
19-12-2021,6.042
20-12-2021,6.093
21-12-2021,6.093
22-12-2021,6.062
23-12-2021,6.062
24-12-2021,6.062
25-12-2021,6.021
26-12-2021,6.021
27-12-2021,6.062
28-12-2021,6.114
29-12-2021,6.124
30-12-2021,6.160
31-12-2021,6.183
01-01-2022,6.196
02-01-2022,6.216
03-01-2022,6.216
04-01-2022,6.267
05-01-2022,6.267
06-01-2022,6.288
07-01-2022,6.319
08-01-2022,6.319
09-01-2022,6.319
10-01-2022,6.370
11-01-2022,6.401
12-01-2022,6.401
13-01-2022,6.431
14-01-2022,6.431
15-01-2022,6.431
16-01-2022,6.452
17-01-2022,6.472
18-01-2022,6.503
19-01-2022,6.524
20-01-2022,6.565
21-01-2022,6.585
22-01-2022,6.585
23-01-2022,6.595
24-01-2022,6.595
25-01-2022,6.647
26-01-2022,6.647
27-01-2022,6.667
28-01-2022,6.698
29-01-2022,6.698
30-01-2022,6.739
31-01-2022,6.739
01-02-2022,6.739
02-02-2022,6.759
03-02-2022,6.785
04-02-2022,6.790
05-02-2022,6.821
06-02-2022,6.821
07-02-2022,6.841
08-02-2022,6.872
09-02-2022,6.872
10-02-2022,6.903
11-02-2022,6.923
12-02-2022,6.944
13-02-2022,6.944
14-02-2022,6.944
15-02-2022,6.985
16-02-2022,7.005
17-02-2022,7.026
18-02-2022,7.046
19-02-2022,7.046
20-02-2022,7.046
21-02-2022,7.067
22-02-2022,7.067
23-02-2022,7.067
24-02-2022,7.067
25-02-2022,7.108
26-02-2022,7.108
27-02-2022,7.139
28-02-2022,7.139
01-03-2022,7.149
02-03-2022,7.149
03-03-2022,7.169
04-03-2022,7.231
05-03-2022,7.262
06-03-2022,7.262
07-03-2022,7.338
08-03-2022,7.346
09-03-2022,7.477
10-03-2022,7.477
11-03-2022,8.066
12-03-2022,8.123
13-03-2022,8.123
14-03-2022,8.123
15-03-2022,8.123
16-03-2022,8.107
17-03-2022,8.012
18-03-2022,7.910
19-03-2022,7.905
20-03-2022,7.905
21-03-2022,7.905
22-03-2022,7.905
23-03-2022,7.905
24-03-2022,7.900
25-03-2022,7.900
26-03-2022,7.953
27-03-2022,7.964
28-03-2022,7.964
29-03-2022,7.964
30-03-2022,8.010
31-03-2022,7.977
01-04-2022,7.977
02-04-2022,7.925
03-04-2022,7.925
04-04-2022,7.925
05-04-2022,7.874
06-04-2022,7.874
07-04-2022,7.869
08-04-2022,7.854
09-04-2022,7.841
10-04-2022,7.841
11-04-2022,7.841
02-05-2022,7.874
03-05-2022,7.877
04-05-2022,7.907
05-05-2022,7.943
06-05-2022,7.966
07-05-2022,7.982
08-05-2022,8.002
09-05-2022,8.007
10-05-2022,8.043
11-05-2022,8.082
12-05-2022,8.082
13-05-2022,8.097
14-05-2022,8.161
15-05-2022,8.161
16-05-2022,8.161
17-05-2022,8.207
18-05-2022,8.243
19-05-2022,8.251
20-05-2022,8.294
21-05-2022,8.192
22-05-2022,8.192
23-05-2022,8.294
24-05-2022,8.294
25-05-2022,8.333
26-05-2022,8.333
27-05-2022,8.333
28-05-2022,8.238
29-05-2022,8.246
30-05-2022,8.343
31-05-2022,8.412
01-06-2022,8.456
02-06-2022,8.456
03-06-2022,8.456
04-06-2022,8.394
05-06-2022,8.394
06-06-2022,8.530
07-06-2022,8.538
08-06-2022,8.571
09-06-2022,8.61
10-06-2022,8.645
11-06-2022,8.589
12-06-2022,8.589
13-06-2022,8.753
14-06-2022,8.753
15-06-2022,8.776
16-06-2022,8.776
17-06-2022,8.791
18-06-2022,8.712
19-06-2022,8.704
20-06-2022,8.815
21-06-2022,8.815
22-06-2022,8.815
23-06-2022,8.815
24-06-2022,8.815
25-06-2022,8.704
26-06-2022,8.704
27-06-2022,8.815
28-06-2022,8.815
29-06-2022,8.815
30-06-2022,8.815
01-07-2022,8.312
02-07-2022,8.312
03-07-2022,8.312
04-07-2022,8.302
05-07-2022,8.302
06-07-2022,8.302
07-07-2022,8.302
08-07-2022,8.302
09-07-2022,8.302
10-07-2022,8.302
11-07-2022,8.302
12-07-2022,8.302
13-07-2022,8.302
14-07-2022,8.302
15-07-2022,8.271
16-07-2022,8.261
17-07-2022,8.230
18-07-2022,8.225
19-07-2022,8.225
20-07-2022,8.225
21-07-2022,8.077
22-07-2022,8.069
23-07-2022,8.069
24-07-2022,8.069
25-07-2022,8.069
26-07-2022,8.069
27-07-2022,8.020
28-07-2022,8.012
29-07-2022,8.002
30-07-2022,8.002
31-07-2022,8.002
01-08-2022,8.002
02-08-2022,8.002
03-08-2022,7.913
04-08-2022,7.879
05-08-2022,7.871
06-08-2022,7.864
07-08-2022,7.864
08-08-2022,7.779
09-08-2022,7.761
10-08-2022,7.728
11-08-2022,7.710
12-08-2022,7.710
13-08-2022,7.710
14-08-2022,7.710
15-08-2022,7.710
16-08-2022,7.710
17-08-2022,7.677
18-08-2022,7.659
19-08-2022,7.625
20-08-2022,7.608
21-08-2022,7.608
22-08-2022,7.608
23-08-2022,7.608
24-08-2022,7.605
25-08-2022,7.605
26-08-2022,7.631
27-08-2022,7.631
28-08-2022,7.631
29-08-2022,7.631
30-08-2022,7.631
31-08-2022,7.631
01-09-2022,7.605
02-09-2022,7.502
03-09-2022,7.497
04-09-2022,7.497
05-09-2022,7.400
06-09-2022,7.385
07-09-2022,7.385
08-09-2022,7.385
09-09-2022,7.385
10-09-2022,7.356
11-09-2022,7.356
12-09-2022,7.356
13-09-2022,7.356
14-09-2022,7.344
15-09-2022,7.205
16-09-2022,7.190
17-09-2022,7.052
18-09-2022,7.026
19-09-2022,7.026
20-09-2022,6.949
21-09-2022,6.934
22-09-2022,6.846
23-09-2022,6.831
24-09-2022,6.831
25-09-2022,6.831
26-09-2022,6.831
27-09-2022,6.734
28-09-2022,6.708
29-09-2022,6.708
30-09-2022,6.708
01-10-2022,6.708
02-10-2022,6.708
03-10-2022,6.708
04-10-2022,6.708
05-10-2022,6.708
06-10-2022,6.708
07-10-2022,6.708
08-10-2022,6.739
09-10-2022,6.759
10-10-2022,6.759
11-10-2022,6.777
12-10-2022,6.852
13-10-2022,6.872
14-10-2022,6.872
15-10-2022,6.903
16-10-2022,6.903
17-10-2022,6.903
18-10-2022,6.995
19-10-2022,6.995
20-10-2022,6.995
21-10-2022,7.036
22-10-2022,7.067
23-10-2022,7.067
24-10-2022,7.098
25-10-2022,7.098
26-10-2022,7.098
27-10-2022,7.098
28-10-2022,7.149
29-10-2022,7.149
30-10-2022,7.174
31-10-2022,7.174
01-11-2022,7.174
02-11-2022,7.174
03-11-2022,7.180
04-11-2022,7.200
05-11-2022,7.241
06-11-2022,7.241
07-11-2022,7.241
08-11-2022,7.292
09-11-2022,7.323
10-11-2022,7.323
11-11-2022,7.323
12-11-2022,7.344
13-11-2022,7.344
14-11-2022,7.344
15-11-2022,7.364
16-11-2022,7.364
17-11-2022,7.351
18-11-2022,7.323
19-11-2022,7.300
20-11-2022,7.300
21-11-2022,7.282
22-11-2022,7.249
23-11-2022,7.167
24-11-2022,7.167
25-11-2022,7.116
26-11-2022,7.098
27-11-2022,7.098
28-11-2022,7.098
29-11-2022,7.046
30-11-2022,6.921
01-12-2022,6.903
02-12-2022,6.903
03-12-2022,6.903
04-12-2022,6.903
05-12-2022,6.903
06-12-2022,6.767
07-12-2022,6.613
08-12-2022,6.442
09-12-2022,6.442
10-12-2022,6.288
11-12-2022,6.288
12-12-2022,6.288
13-12-2022,6.288
14-12-2022,6.288
15-12-2022,6.288
16-12-2022,6.288
17-12-2022,6.288
18-12-2022,6.288
19-12-2022,6.288
20-12-2022,6.175
21-12-2022,6.175
22-12-2022,6.132
23-12-2022,6.114
24-12-2022,6.114
25-12-2022,6.114
26-12-2022,6.114
27-12-2022,6.114
28-12-2022,6.114
29-12-2022,6.114
30-12-2022,6.114
31-12-2022,6.114
01-01-2023,6.114
02-01-2023,6.472
03-01-2023,6.472
04-01-2023,6.472
05-01-2023,6.472
06-01-2023,6.421
07-01-2023,6.421
