Rank,Youtube Channel,Subscribers,Video Views,Video Count,Category,Started
145,Peppa Pig - Official Channel,"30,000,000","21,914,217,722","2,575",Film & Animation,2013
146,Boram Tube Vlog [보람튜브 브이로그],"29,900,000","13,320,447,980",223,Entertainment,2012
147,Wow Kidz,"29,900,000","15,906,054,081","3,825",Film & Animation,2015
148,Spinnin' Records,"29,900,000","20,651,821,146","11,048",Music,2007
149,ImagineDragons,"29,800,000","15,573,184,914",87,Music,2009
150,MR. INDIAN HACKER,"29,800,000","5,170,819,584",874,Science & Technology,2012
151,Shawn Mendes,"29,800,000","12,272,383,543",132,Music,2011
152,DONA 도나,"29,700,000","19,514,803,427",163,Entertainment,2018
153,GMANetwork,"29,600,000","27,835,242,571","125,735",Entertainment,2006
154,Adele,"29,500,000","13,365,050,446",15,Music,2008
155,Popular on YouTube,"29,300,000",0,0,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2013
156,قناة طيور الجنة | toyoraljanahtv,"29,200,000","26,743,403,629","3,175",Entertainment,2008
157,AuronPlay,"29,200,000","4,021,381,165",404,Comedy,2006
158,Little Angel: Nursery Rhymes & Kids Songs,"29,200,000","21,402,553,443","1,213",Education,2015
159,Talking Tom,"29,100,000","14,517,628,994",469,Comedy,2010
160,Ultra Records,"29,100,000","16,694,586,833","4,750",Music,2006
161,Maluma,"29,000,000","20,398,752,778",21,Music,2018
162,Round2hell,"29,000,000","2,955,667,345",66,Comedy,2016
163,ashish chanchlani vines,"29,000,000","4,207,027,768",147,Comedy,2009
164,jacksepticeye,"29,000,000","15,857,360,480","5,046",Gaming,2007
165,KAROL G,"28,900,000","15,671,695,419",124,Music,2013
166,Zee News,"28,700,000","14,547,067,456","160,005",News & Politics,2007
167,व्लाद और निकिता,"28,700,000","17,107,973,877",478,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2018
168,Lucas and Marcus,"28,600,000","9,575,572,393","1,076",Entertainment,2011
169,TheDonato,"28,400,000","5,588,992,559","2,755",Entertainment,2015
170,The Late Late Show with James Corden,"28,000,000","10,200,658,256","5,695",Entertainment,2006
171,AboFlah,"27,700,000","3,963,824,628",593,Gaming,2016
172,infobells - Tamil,"27,600,000","17,027,319,292",495,Education,2014
173,Drake,"27,500,000","14,112,271,569",59,Music,2009
174,Aditya Music,"27,400,000","24,229,379,040","20,757",Music,2008
175,Bounce Patrol - Kids Songs,"27,300,000","19,996,346,479",229,Music,2013
176,Michael Jackson,"27,100,000","13,475,088,420",15,Music,2005
177,Wiz Khalifa,"27,000,000","12,956,392,794",623,Music,2008
178,Sandeep Maheshwari,"26,900,000","2,166,469,190",562,People & Blogs,2012
179,infobells - Telugu,"26,900,000","13,913,156,831",449,Education,2014
180,A.O.D,"26,900,000","15,715,787,972","2,474",Entertainment,2014
181,enchufetv,"26,600,000","10,223,966,037","1,056",Comedy,2011
182,toycantando,"26,500,000","14,667,362,261",531,Music,2009
183,Aditya Movies,"26,400,000","8,932,231,692","4,719",Movies,2012
184,JYP Entertainment,"26,300,000","18,505,316,594","1,599",Music,2008
185,DanTDM,"26,300,000","18,960,251,968","3,638",Gaming,2012
186,Nick Jr.,"26,300,000","21,511,413,683","5,079",Film & Animation,2012
187,Goldmines Dishoom,"26,300,000","7,870,463,275","3,364",Film & Animation,2016
188,WORLDSTARHIPHOP,"26,200,000","19,899,129,709","6,708",Music,2008
189,Renato Garcia YT,"26,200,000","7,380,286,067","3,625",Entertainment,2011
190,Jess No Limit,"25,900,000","3,225,286,925","2,009",Entertainment,2017
191,Masha y el Oso,"25,900,000","12,088,612,689",936,Film & Animation,2016
192,BB Ki Vines,"25,800,000","4,551,592,957",188,Entertainment,2015
193,VanossGaming,"25,800,000","15,227,182,993","1,668",Gaming,2011
194,1MILLION Dance Studio,"25,800,000","7,639,482,143","4,876",Entertainment,2015
195,Netflix,"25,700,000","6,483,549,335","6,144",Entertainment,2012
196,Shemaroo Movies,"25,700,000","6,694,749,616","2,666",Entertainment,2011
197,TaylorSwiftVEVO,"25,700,000","24,334,160,208",261,Music,2009
198,LosPolinesios,"25,600,000","7,284,096,508",941,People & Blogs,2012
199,Crazy XYZ,"25,500,000","6,909,579,235","1,183",Entertainment,2017
200,Raffy Tulfo in Action,"25,500,000","14,090,642,521","9,363",News & Politics,2016
201,Beyoncé,"25,500,000","16,545,952,051",234,Music,2005
202,Marília Mendonça,"25,500,000","17,583,869,743",120,Music,2013
203,Enaldinho,"25,500,000","9,600,028,596","3,275",Comedy,2012
204,RihannaVEVO,"25,200,000","18,711,981,509",118,Music,2009
205,StarPlus,"25,200,000","18,007,460,762","26,205",Entertainment,2006
206,Nicki Minaj,"25,100,000","9,814,393,443",39,Music,2013
207,Las Ratitas,"25,000,000","9,416,242,649",221,People & Blogs,2015
208,Smosh,"25,000,000","10,274,551,358","1,459",Comedy,2005
209,David Guetta,"25,000,000","16,789,646,111",702,Music,2009
210,HUM TV,"24,900,000","20,138,982,531","85,520",Entertainment,2011
211,WatchMojo.com,"24,900,000","16,036,594,903","23,571",Music,2007
212,ZHC,"24,900,000","2,432,186,480",305,Film & Animation,2013
213,Yuya,"24,900,000","2,586,211,373",672,Howto & Style,2009
214,EminemVEVO,"24,800,000","19,618,787,988",104,Music,2009
215,Post Malone,"24,800,000","13,400,799,639",64,Music,2011
216,KatyPerryVEVO,"24,700,000","23,193,121,362",173,Music,2009
217,Rans Entertainment,"24,700,000","6,067,761,738","3,371",People & Blogs,2015
218,Chris Brown,"24,500,000","14,634,573,956",23,Music,2006
219,Brent Rivera,"24,500,000","5,659,381,804",516,Comedy,2009
220,Super JoJo - Nursery Rhymes & Kids Songs,"24,400,000","1,459,730",8,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2019
221,D Billions,"24,400,000","27,800,456,761",590,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2019
222,Coldplay,"24,400,000","16,151,404,605",364,Music,2010
223,Goldmines Bollywood,"24,400,000","7,881,575,502","3,097",Film & Animation,2015
224,1theK (원더케이),"24,400,000","23,263,234,592","17,735",Music,2011
225,TRANS7 OFFICIAL,"24,300,000","13,336,947,331","83,527",Entertainment,2014
226,Chloe Ting,"24,300,000","2,855,477,471",386,Howto & Style,2011
227,Amit Bhadana,"24,300,000","2,318,923,728",97,Entertainment,2012
228,★ Kids Roma Show,"24,100,000","8,539,357,204",613,People & Blogs,2015
229,Collins Key,"24,000,000","6,514,271,600",254,Entertainment,2011
230,KSI,"24,000,000","5,957,939,168","1,248",Entertainment,2009
231,DJ Snake,"23,900,000","8,039,306,948",217,Music,2008
232,ABPLIVE,"23,900,000","7,231,058,050","162,144",People & Blogs,2017
233,Ninja,"23,800,000","2,487,798,349","1,525",Gaming,2011
234,The Lallantop,"23,800,000","9,069,403,398","44,355",News & Politics,2015
235,James Charles,"23,800,000","3,801,089,461",444,Entertainment,2015
236,WB Kids,"23,700,000","10,175,012,401","1,871",People & Blogs,2015
237,Anuel AA,"23,600,000","13,022,229,032",135,Music,2016
238,Logan Paul,"23,600,000","5,941,251,199",714,Entertainment,2015
239,netd müzik,"23,500,000","53,386,751,228","21,930",Music,2014
240,Frost Diamond,"23,500,000","5,920,064,550","2,421",Gaming,2014
241,Like Nastya AE,"23,400,000","11,843,614,429",636,Entertainment,2018
242,Enrique Iglesias,"23,400,000","16,999,907,105",434,Music,2007
243,Happy Lives,"23,400,000","10,103,932,216",550,Science & Technology,2016
244,MrBeast en Español,"23,400,000","2,959,484,997",87,Entertainment,2021
245,NickyJamTV,"23,400,000","15,433,153,908",358,Music,2012
246,Mister Max,"23,400,000","15,188,885,182","1,072",People & Blogs,2014
247,Troom Troom,"23,400,000","10,001,222,206","2,120",Howto & Style,2015
248,Mark Rober,"23,300,000","3,214,411,985",108,Science & Technology,2011
249,Erlania e Valentina Pontes,"23,200,000","7,740,625,371","1,234",Film & Animation,2014
250,Miss Katy,"23,200,000","14,256,869,917","1,016",People & Blogs,2014
251,Jelly,"23,200,000","14,485,790,472","5,861",Gaming,2014
252,Indosiar,"23,100,000","11,795,485,473","64,565",Music,2013
253,America's Got Talent,"23,100,000","4,634,400,513","2,960",Entertainment,2006
254,Sesame Street,"23,100,000","21,710,473,619","3,542",Entertainment,2006
255,Diana and Roma ARA,"23,000,000","10,504,290,129",544,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2019
256,Venus Movies,"22,900,000","6,648,113,808","2,499",Entertainment,2010
257,YOLO AVENTURAS,"22,800,000","6,140,529,899","1,225",People & Blogs,2018
258,Pen Movies,"22,800,000","6,123,652,788","1,646",Film & Animation,2014
259,Technical Guruji,"22,800,000","3,240,574,005","4,812",Science & Technology,2015
260,Goldmines Movies,"22,800,000","5,166,413,550","4,432",Film & Animation,2013
261,Peppa Pig Español Latino - Canal Oficial,"22,700,000","7,495,214,886","1,118",Film & Animation,2014
262,FaZe Rug,"22,700,000","6,749,344,707","2,077",Gaming,2012
263,DrossRotzank,"22,700,000","5,868,977,921","1,545",Entertainment,2006
264,Zhong,"22,700,000","13,648,354,447","1,283",Entertainment,2015
265,Lady Gaga,"22,600,000","14,745,436,214",172,People & Blogs,2008
266,GMM GRAMMY OFFICIAL,"22,600,000","24,839,063,221","14,488",Music,2010
267,Preston,"22,600,000","7,505,683,763","3,927",Gaming,2012
268,LankyBox,"22,600,000","30,317,640,439","6,984",Comedy,2016
269,White Hill Music,"22,400,000","10,303,170,016","5,300",Entertainment,2014
270,The Chainsmokers,"22,400,000","13,744,471,188",160,Music,2012
271,Smile Family,"22,400,000","8,499,075,726",451,People & Blogs,2018
272,TED,"22,400,000","2,457,759,405","4,181",People & Blogs,2006
273,Juan De Dios Pantoja,"22,400,000","1,835,511,828",196,Entertainment,2014
274,mmoshaya,"22,300,000","16,972,853,327","1,164",People & Blogs,2010
275,Wave Music Bhojpuri,"22,300,000","12,530,155,484","21,963",Music,2014
276,Paulo Londra,"22,200,000","7,577,333,000",58,Music,2016
277,Sia,"22,200,000","12,789,115,698",168,Music,2007
278,BabyBus - Canciones Infantiles & Videos para Niños,"22,100,000","12,546,008,350","1,087",Education,2018
279,Diana and Roma EN,"22,100,000","6,044,449,696",464,People & Blogs,2011
280,OneDirectionVEVO,"21,900,000","11,830,132,973",266,Music,2010
281,Like Nastya PRT,"21,900,000","10,979,800,678",589,Entertainment,2019
282,SSundee,"21,700,000","12,843,659,340","3,194",Gaming,2009
283,Charlie Puth,"21,600,000","9,279,930,391",146,Music,2009
284,Ultra Movie Parlour,"21,600,000","5,274,337,335","1,475",Movies,2011
285,Goldmines Cineplex,"21,500,000","2,098,934,903","2,932",Film & Animation,2015
286,FGTeeV,"21,500,000","23,294,730,097","1,661",Gaming,2013
287,Maya and Mary,"21,400,000","6,488,980,036",546,Entertainment,2013
288,Dua Lipa,"21,400,000","10,584,082,649",164,Music,2011
289,Dushyant kukreja,"21,400,000","14,105,493,980",735,Entertainment,2015
290,Beast Reacts,"21,300,000","3,212,940,190",230,People & Blogs,2016
291,Alan Becker,"21,200,000","4,743,371,214",135,Film & Animation,2006
292,Kids TV - Nursery Rhymes And Baby Songs,"21,200,000","12,481,540,293","3,608",Shows,2013
293,NichLmao,"21,100,000","11,361,253,531",720,People & Blogs,2018
294,nigahiga,"21,100,000","4,370,083,736",403,Entertainment,2006
295,Vlad and Niki Arabic,"21,100,000","9,910,020,745",471,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2018
296,National Geographic,"21,100,000","5,429,440,644","10,013",Science & Technology,2006
297,Disney Latinoamérica,"21,000,000","19,851,368,612","7,956",Entertainment,2007
298,Tasty,"21,000,000","5,614,408,524","4,461",Howto & Style,2016
299,toyorbabytv,"21,000,000","14,935,005,348","1,092",Music,2012
300,Rotana,"20,900,000","17,847,780,290","8,240",Music,2012
301,Becky G,"20,800,000","10,028,384,275",73,Music,2011
302,5-Minute Crafts DIY,"20,800,000","4,997,658,141","4,478",Howto & Style,2018
303,Baim Paula,"20,800,000","4,345,134,335","2,065",People & Blogs,2016
304,Sun TV,"20,700,000","17,384,448,140","45,220",People & Blogs,2016
305,Kinder Spielzeug Kanal,"20,700,000","10,240,499,274",842,Entertainment,2015
306,Canal Canalha,"20,700,000","1,858,850,667",298,Comedy,2011
307,Tlnovelas,"20,600,000","13,931,461,109","34,189",News & Politics,2013
308,Netflix India,"20,600,000","6,630,097,487","3,126",People & Blogs,2016
309,Tekashi 6ix9ine,"20,600,000","5,505,799,443",25,People & Blogs,2018
310,Brave Wilderness,"20,600,000","4,798,091,763",966,Pets & Animals,2014
311,Vania Mania Kids,"20,500,000","8,599,968,109",906,People & Blogs,2015
312,Family GamesTV,"20,400,000","7,157,996,223",301,Entertainment,2016
313,Lyrical Lemonade,"20,400,000","10,103,545,946",413,Entertainment,2013
314,Dr. Vivek Bindra: Motivational Speaker,"20,400,000","1,597,414,298",782,Education,2013
315,Avicii,"20,400,000","9,857,717,474",149,Music,2009
316,Junya.じゅんや,"20,300,000","12,067,861,694","4,001",Entertainment,2020
317,GMA Public Affairs,"20,300,000","12,775,779,195","41,546",Entertainment,2009
318,BETER BÖCÜK,"20,300,000","11,558,534,734","1,772",https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2012
319,Eva Bravo Play,"20,300,000","8,634,660,945",202,Entertainment,2019
320,LazarBeam,"20,300,000","8,589,202,733","1,318",Gaming,2015
321,Jake Paul,"20,300,000","7,265,786,652",950,People & Blogs,2013
322,BuzzFeedVideo,"20,200,000","17,844,881,541","7,477",People & Blogs,2011
323,Romeo Santos,"20,200,000","16,053,917,113",53,Music,2005
324,Alejo Igoa,"20,200,000","8,466,520,358",754,Comedy,2014
325,invictor,"20,200,000","7,815,657,879","2,177",Gaming,2013
326,SlivkiShow,"20,200,000","4,530,671,605",446,Entertainment,2012
327,Totoy kids - Português,"20,200,000","4,196,825,167",240,Film & Animation,2014
328,5-Minute Crafts PLAY,"20,100,000","5,916,449,403","4,934",Howto & Style,2017
329,AuthenticGames,"20,100,000","8,887,964,445","4,799",Gaming,2011
330,Gulshan Kalra,"20,100,000","9,709,536,467",457,Howto & Style,2018
331,Mnet K-POP,"20,100,000","13,922,559,602","30,622",Entertainment,2006
332,mujjuu___14,"20,000,000","12,720,012,557",730,People & Blogs,2020
333,Pencilmation,"20,000,000","11,094,654,170","1,303",Film & Animation,2007
334,Skrillex,"20,000,000","6,438,877,934",191,Music,2010
335,Pentatonix,"20,000,000","5,939,617,823",253,Music,2011
336,Marvel Entertainment,"20,000,000","5,423,946,266","8,257",Entertainment,2005
337,Infinite,"20,000,000","4,721,367,276","1,563",Entertainment,2014
338,Vevo,"20,000,000","554,309,174","1,539",Music,2006
339,REACT,"20,000,000","13,034,733,249","4,042",Entertainment,2007
340,HaerteTest,"19,900,000","3,184,409,704","1,299",Science & Technology,2011
341,Kurzgesagt – In a Nutshell,"19,900,000","2,202,583,880",171,Education,2013
342,Got Talent Global,"19,900,000","3,575,349,122","2,020",Entertainment,2013
343,Fatos Desconhecidos,"19,900,000","3,492,581,724","5,703",Entertainment,2013
344,Khan GS Research Centre,"19,800,000","1,894,638,004",353,Education,2019
345,Noor Stars,"19,800,000","2,638,222,649",654,Comedy,2014
346,Dan Rhodes,"19,800,000","14,121,021,396","1,541",Entertainment,2015
347,Tilak,"19,800,000","7,980,058,405","4,929",Film & Animation,2020
348,The Royalty Family,"19,800,000","5,365,814,568",681,People & Blogs,2017
349,Deddy Corbuzier,"19,800,000","4,479,493,326","1,229",Entertainment,2009
350,JennaMarbles,"19,800,000","1,784,776,380",250,Comedy,2010
351,Linkin Park,"19,700,000","12,435,259,143",593,Music,2006
352,Gusttavo Lima Oficial,"19,700,000","12,914,685,124",349,Music,2010
353,NBA,"19,700,000","11,509,656,903","44,327",Sports,2005
354,Ninja Kidz TV,"19,700,000","10,043,931,480",279,Entertainment,2017
355,Robin Hood Gamer,"19,700,000","9,955,629,684","3,889",Entertainment,2014
356,Gordon Ramsay,"19,700,000","3,746,499,230","1,393",Entertainment,2006
357,Daniel LaBelle,"19,600,000","10,335,248,598",259,Comedy,2009
358,Minecraft - Topic,"19,500,000",0,0,https://us.youtubers.me/global/all/top-1000-most_subscribed-youtube-channels,2013
359,Village Cooking Channel,"19,500,000","5,091,483,300",219,Howto & Style,2018
360,BabyBus - Cerita & Lagu Anak-anak,"19,400,000","11,153,601,710",744,Education,2019
361,Troom Troom Es,"19,400,000","7,282,536,298","2,715",People & Blogs,2016
362,shane,"19,400,000","4,299,052,383",569,People & Blogs,2005
363,Green Gold TV - Official Channel,"19,300,000","9,348,596,042","1,159",Film & Animation,2011
364,Clash of Clans,"19,300,000","3,776,148,455",621,Gaming,2013
365,AS Gaming,"19,300,000","2,709,808,489","1,149",Gaming,2016
366,JukiLop,"19,300,000","1,561,914,983",85,People & Blogs,2017
